,Filename,Proficiency,Age,L1,Age_Exposure,Years_Study,Text
0,DE_SP_B1_26_13_13_TM,B1 (lower intermediate),26,German,8,13.0,One day Tommy found a frog in a forest and brought him home / in the night while Tommy was sleeping the frog escaped from the glass box where he was kept in the morning Tommy found the glass box empty he went to the forest and start to look for the frog he climbed up the tree climbed up a big stone but didn't found the frog anywhere while he was standing on a stone an animal came uh an animal came be= behind his back and Tommy fell into the water / when he was in the water he stand up and saw his uh frog which was uh who was reunited with his family his kids and his wife.
1,DE_SP_B1_19_11_13_RN,B1 (lower intermediate),19,German,10,11.0,One day a little boy called John uh with his dog Rex found a frog called Freddy and they took them home / at night uh Rex and John fall asleep and Freddy tried to escape / at the morning John and Rex saw that Freddy escaped and they started to search for them for him uh they went into the forest uh climbed on trees looked underneath stones but they couldn't find him / after a while they uh encountered other animals and they had struggle there John fall down into water afterwards they tried to find Freddy again but they couldn't find him but then they saw him and they saw the whole fam= family of Freddy he had five little children / John and Rex were so happy that they could find Freddy and that they could see that Freddy has a family and a wonderful life even without them.
2,DE_SP_B1_21_12_13_SE,B1 (lower intermediate),21,German,9,12.0,One day a boy was sitting in his room / uh he was with his little dog and he watched a frog / who was in a glass /later when he went to bed he fall asleep also with his dog and the frog disappeared / then when he woke up and checked if the f= frog would be still there he realized that the frog could escape / so he went out with his dog in the forest to search his frog / it is really difficult and he walks everywhere on a tree / and has some difficulties because of the dog is finding some bees who can be really aggressive / he keeps on searching he climbs on rocks and is yelling for him for his little frog and / finally gets attacked by an / uh wild animal in the forest / but uh makes him fall down / with his dog in a river / where he is saved by a tree where he can save himself with the tree and there finally finds a little family of frogs wh= who have xxx babies and he seems really happy and / has a little frog in his hand goes and says b=- good-by to the frogs.
3,DE_SP_B1_22_15_13_LF,B1 (lower intermediate),22,German,7,15.0,Uh one day a little boy and his dog are watching a frog into who is uh into a glass and when they go to bed the frog escapes and in the morning they both wonder uh where he's been / uh they start searching for the frog uh into the woods climb onto trees uh and behind stones and they even meet other animals and got into a fight with a deer and suddenly they both fell into a a river uh when they climb out of the river they suddenly see the frog again and find out that the frog has a family and they decide to left the frog with his family and go hhh.
4,DE_SP_B1_33_10_14_JR,B1 (lower intermediate),33,German,10,10.0,Ok this story is about toch uh Charles Chaplin get in touch with the baby and it starts when he walks down a shabby side road / and people uh threw their trash out of the window and / he was hit by some trash and then he um put on a new cigarette / and he heard a baby screaming and he looked down on the ground where the baby lies / and he picks it up / and uh / when he looks at the baby behind him there’s a woman / uh  carrying a ba=baggy with the baby in it and he uh / turns around and decides that maybe she uh / is the mother of the baby or he could just put it / into it and uh / when he does uh the uh woman cam=came back and si uh told him that it’s not hers and he should pick it up again / then he picks it up and wants to put it back on the ground / and uh / while he does that a police officer’s coming / uh right behind him and looks very / uh strict and uh Charlie Chaplan decides to pick the baby up again and walks away / and he uh / meets an elderly man xxx walking stock and asked him to hold the baby for a moment and uh / the man said yes and then Charlie Chaplin walks away and uh the old man walks / with the baby / along the street and finds the baggy from the woman before / and / he decides to put in the baby and walks away as well and then the woman came back from a shop / and uh she finds the additional baby / and is mad and that happened when Charlie Chaplin crosses her way and she / follows him with her umbrella and is really uh angry / and they start to fight / over the baby and there uh huge discussion when the policemen from before / arrives and Charlie Chapman decides to avoid any more trouble that he picks the baby up again / and / then he walks back to the street sit down and uh other things uh options where he could pick the bae uh put the baby and he decide to uh / look in the hole / but then he uh hhh he decides to take a closer look at the baby and he finds uh / a piece of paper where it said that / eh whoever finds the baby should uh take care of it and love this orphan child and then he decides to / pick it up and take it somewhere else
5,DE_SP_B1_22_11_13_LS,B1 (lower intermediate),22,German,8,11.0,One day a little boy named John catched a frog in his garden uh at night he sits with his little dog in the room and looks at it uh in the when he goes to sleep the little frog uh leaves uh the next day John wakes up and sees that the frog is not there anymore he seeks him everywhere he seeks in the forest he seeks him in the trees he seeks him / on a stone hhh and suddenly a / Hirsch appears and uh John falls into the pond uh in the pond when he comes out of the pond he sees his little frog he the frog found his family John is happy that the frog has his family back and goes away and waves.
6,DE_SP_B2_26_12_13_SS,B2 (upper intermediate),26,German,10,12.0,Ok uh one day Tom and his dog found a frog / they loved that frog and uh put it in a glass / when they are asleep the frog escaped / the next day when they wake up they saw that their frog wasn't there any=wh=more / they went out and looked for the frog and call the whole time his name hhh and look everywhere on trees / behind trees in the woods even on a rock / Tom stand there and screamed the frog at the frog hhh / uh suddenly there is a deer who is not of uh happy about the screaming and the noise they make and push them away they fall into the sea / but happily they can swim and can escape the water / uh Tom and his dog found the frog with his family and now they know why the frog is escaped and they can happily go away and let the frog there.
7,DE_SP_B2_20_9_13_LR,B2 (upper intermediate),20,German,8,9.0,One day Timmy and his dog Fluffy couldn't fall asleep because uh this afternoon they found uh a frog in the garden it was long after midnight when they finally lay ins bed but then the next in the next morning he couldn't find his frog because he escaped from his glass where Timmy put him / uh in the afternoon they searched him everywhere in the garden in the woods / Timmy climbed up a tree climbed up a stone and his dog Fluffy helped him with his search / the other animals in the wood weren't that happy that Timmy disturbed them uh and finally he was thrown into a river / and his dog too / uh / Timmy was very wet but he could uh climb out of the river because there was a / an old / tree lying at the river bank and so he could get into the grass / on the other side of the tr= of the old tree there was his frog he found uh in the garden with his family / Timmy was very happy that he could find his frog and uhm so h= he went home again.
8,DE_SP_B2_23_12_13_SA,B2 (upper intermediate),23,German,10,12.0,One day a little boy uh played with his dog and a frog  in his glass uh but while he was asleep the d= the frog escapes uh the glass and on the next morning the boy sees that the frog isn't there anymore and is really sad and therefore he is searching for the frog in / the forest uh together with his friend the dog / but he can't find the frog anywhere he looks into uh trees branches and is screaming after the frog all the time but what he finds there is a big / reindeer like animal hhh uh and because he was so surprised uh he fell falls down uh into a sea or into a river / and uh / because he is really wet he wants to got get out there and uh / then / by surprise or by an accident he finds the frog and his family and uh they all live happily ever after.
9,DE_SP_B2_23_21_13_LB,B2 (upper intermediate),23,German,2,21.0,Once upon a time there was a small boy called Hank /. he was sitting in his room at night before he went to sleep with his dog and l= looking at the / frog in a bottle / the next / when he went to sleep the frog climbed out of the bottle and ran a= away out of this room / the next morning when Hank woke up he was he was quickly running to th bottle and wanted to look if the frog was there but there was no frog in the bottle anymore so Hank ran off out of his room with his dog and was shouting in the forest looking for the frog he was climbing up trees / and looking around / the forest and he climbed up a big rock and he was holding his hands onto two branches and screaming for the frog but no frog was there the dog was scared when the when Hank climbed up of the on the rock suddenly Hank noticed that the branches he was holding on / weren't branches it was a deer the deer was really angry so it picked Hank up and threw him into the water with his dog Hank was completely wet and his dog too so they crawled out of the water and set on a big branch big old branch th= while they were lying on the branch and getting dry he saw behind the big branch there was the frog again with his wife and a lot of frog children Hank was so happy to find the frog again that he took his took it in his hands and / jumped around. The frog family was together and Hank was happy.
10,DE_SP_B2_20_10.5_13_GD,B2 (upper intermediate),20,German,8,10.5,Uh one day little Timmy and his dog found a frog outside and he wanted to keep him and watching grow so he took him inside and put him in a jar behind his bed / at night while Timmy was sleeping the dog climbed out of the jar next morning when he woke up Timmy was really confused because the jar was empty and the frog wasn't there anymore so he went outside with his dog / and called out for the frog he wanted to find him so he climbed trees and stones but he just couldn't find him / uh suddenly there was a deer coming up and pushed him and his dog into the river / and Timmy tried to / swim to the / uh I am missing the word / uh swim to the shore / and climbed over a tree which was falling down suddenly he found a frog family and he realized that the frog they found the other day was there with his family / so he thought it was gonna be happy and he should be with his family so he went away said good-by and he was happy.
11,DE_SP_B2_20_12_13_AT,B2 (upper intermediate),20,German,8,12.0,One day there was a little boy in his bedroom with his dog and he had a frog uh in a glass and uh when the dog and the boy uh went to bed uh the frog uh jumped out of the glass and the next morning he was uh gone and uh yeah the boy and-was very sad that he wasn't there anymore and uh they went out uh to the forest and uh searched the the frog uh / and the boy uh climbed up a tree and looked for the uh frog and also the uh dog uh searched with him and then the boy uh climbed up uh some stones and uh was so called out for the frog and and there was uh / another big animal and the boy uh landed on the head of the animal and he and the dog uh fell down into a uh a lake and uh yeah they fell into the water when they got out there uh they found the uh frog with uh his family where uh many little frogs and uh yeah then the boy was very happy to see that uh the frog has his own family and he left them alone in the forest.
