,Nstart,Nstart,Nstart,Nfinal,Nfinal,Nfinal,Lstart,Lstart,Lstart,Lfinal,Lfinal,Lfinal
,Morpheme,Frequency,Rank,Morpheme,Frequency,Rank,Morpheme,Frequency,Rank,Morpheme,Frequency,Rank
1,PresP_Count,0.05063291139240506,8.5,PresP_Count,0.044448271991379705,10.0,PresP_Count,0.012038708605409478,5.0,PresP_Count,0.012690469714868424,6.0
2,In_Count,0.0,2.0,In_Count,0.015043632026670327,2.0,In_Count,0.021259819521251076,7.0,In_Count,0.02374614485479954,8.0
3,On_Count,0.02531645569620253,6.0,On_Count,0.01826756541090524,4.0,On_Count,0.000878210416322939,2.0,On_Count,0.0031559081927759274,2.0
4,PastIrr_Count,0.05063291139240506,8.5,PastIrr_Count,0.04248843243286196,9.0,PastIrr_Count,0.027360764930164736,8.0,PastIrr_Count,0.015537695454034512,7.0
5,Poss_Count,0.0,2.0,Poss_Count,0.0029500776090585525,1.0,Poss_Count,0.00022598870056497175,1.0,Poss_Count,0.00033643701815457857,1.0
6,Cop_Count,0.012658227848101266,4.5,Cop_Count,0.02044843928084597,5.0,Cop_Count,0.04117041333108612,10.0,Cop_Count,0.036640158050215296,10.0
7,Art_Count,0.06329113924050633,10.5,Art_Count,0.08869017754361996,11.0,Art_Count,0.05125804881588079,11.0,Art_Count,0.061590739402074615,11.0
8,PastReg_Count,0.012658227848101266,4.5,PastReg_Count,0.023323973615377597,6.0,PastReg_Count,0.009241844696487617,4.0,PastReg_Count,0.0055993536236695046,4.0
9,3PS_Count,0.0,2.0,3PS_Count,0.01650379222698132,3.0,3PS_Count,0.002191813321474172,3.0,3PS_Count,0.004418372050438725,3.0
10,3PIrr_Count,0.06329113924050633,10.5,3PIrr_Count,0.03575824866575475,8.0,3PIrr_Count,0.02815772091870271,9.0,3PIrr_Count,0.029696778725488177,9.0
11,Aux_Count,0.0379746835443038,7.0,Aux_Count,0.03304545367569177,7.0,Aux_Count,0.013034211822673794,6.0,Aux_Count,0.012470739349869506,5.0
